"Date","Close","Volume","Change","Ch(%)","Value(cr)","Trade","Open","High","Low"
"1731175200000","25.2","751163","-0.8000000000000007","-3.0769230769230793","1.9253","783","26","26.2","25"
"1730916000000","26","856697","-0.1999999999999993","-0.7633587786259515","2.2492","891","26.2","26.7","25.9"
"1730829600000","26.2","1149428","-0.5","-1.8726591760299627","3.0315000000000003","1109","26.7","26.9","26"
"1730743200000","26.7","1910330","-0.3000000000000007","-1.1111111111111138","5.2028","1632","27.5","27.8","26.5"
"1730656800000","27","2304288","1.5","5.88235294117647","6.0819","1594","25.5","27.3","25.3"
"1730570400000","25.5","1012285","-0.5","-1.9230769230769231","2.6126","960","26.5","26.5","25.3"
"1730311200000","26","1680504","0.6000000000000014","2.362204724409455","4.3432","1442","25.4","26.5","24.7"
"1730224800000","25.4","1322105","1","4.0983606557377055","3.3158000000000003","1020","24.6","25.7","24.2"
"1730138400000","24.4","793315","1.0999999999999979","4.7210300429184455","1.9067","955","23.5","24.6","23.1"
"1730052000000","23.3","712940","-0.09999999999999787","-0.4273504273504183","1.689","833","23.7","24.3","23.2"
"1729965600000","23.4","819748","-0.6000000000000014","-2.500000000000006","1.9794","835","24.4","25","23.2"
"1729706400000","24","505833","-0.10000000000000142","-0.4149377593361055","1.1978","531","24.3","24.3","23.2"
"1729620000000","24.1","542664","-1.0999999999999979","-4.365079365079357","1.3302","780","25.3","25.4","23.9"
"1729533600000","25.2","626175","0.6999999999999993","2.857142857142854","1.5676","666","24.8","25.4","24.5"
"1729447200000","24.5","821989","0.10000000000000142","0.40983606557377633","1.9904","904","25","25","23.6"
"1729360800000","24.4","634458","-0.9000000000000021","-3.5573122529644357","1.5714000000000001","715","25.7","25.9","24.1"
"1729101600000","25.3","784039","-1.0999999999999979","-4.166666666666659","2.0289","879","26.7","26.9","24.9"
"1729015200000","26.4","622403","0","0","1.6549","860","26.4","27.2","26.2"
"1728928800000","26.4","932111","-1.1000000000000014","-4.000000000000005","2.4983","963","27.3","27.4","26.3"
"1728842400000","27.5","1546234","-0.10000000000000142","-0.36231884057971525","4.3195","1376","27.8","28.6","27.3"
